adamax,adamax_learning_rate,batch_size,error_increase_tolerance,exp_decay_rate_1,exp_decay_rate_2,lambda_tikhonov,max_epochs,min_epochs,patience,topology,stats,mean_mean_euclidean_error,mean_mean_squared_error,var_mean_euclidean_error,var_mean_squared_error,mean_best_validation_training_error
True,0.5,40,1e-05,0.99,0.999,0.0001,800,100,5,"{0: ['input_0', None, [], [10, 11, 12]], 1: ['input_0', None, [], [10, 11, 12]], 2: ['input_0', None, [], [10, 11, 12]], 3: ['input_0', None, [], [10, 11, 12]], 4: ['input_0', None, [], [10, 11, 12]], 5: ['input_0', None, [], [10, 11, 12]], 6: ['input_0', None, [], [10, 11, 12]], 7: ['input_0', None, [], [10, 11, 12]], 8: ['input_0', None, [], [10, 11, 12]], 9: ['input_0', None, [], [10, 11, 12]], 10: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 11: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 12: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 13: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 14: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 15: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 16: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 17: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 18: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 19: ['output_4', 'identity', [], []], 20: ['output_4', 'identity', [], []], 21: ['output_4', 'identity', [], []]}","{'retraing_es_error': -1, 'exp_decay_rates_2': 0.999, 'max_epochs': 800, 'alpha_momentum': 0.5, 'lambda_tikhonov': 0.0001, 'adamax_learning_rate': 0.0125, 'nesterov': False, 'patience': 5, 'min_epochs': 100, 'adamax': True, 'lr_decay_tau': 0, 'exp_decay_rates_1': 0.99, 'learning_rate': 0.0025, 'eta_tau': 2.5e-05, 'error_increase_tolerance': 1e-05, 'training_set_len': 534, 'minibatch_size': 40, 'epochs': [800, 208, 800], 'mean_metrics': [1.6689829328727566, 3.0085895775832845], 'variance_metrics': [0.0009240188357408988, 0.010576418653590563], 'mean_best_validation_training_error': 3.0010506431938335}",1.6689829328727566,3.0085895775832845,0.0009240188357408,0.0105764186535905,3.001050643193833
True,0.3,16,1e-05,0.99,0.999,1e-05,800,100,5,"{0: ['input_0', None, [], [10, 11, 12]], 1: ['input_0', None, [], [10, 11, 12]], 2: ['input_0', None, [], [10, 11, 12]], 3: ['input_0', None, [], [10, 11, 12]], 4: ['input_0', None, [], [10, 11, 12]], 5: ['input_0', None, [], [10, 11, 12]], 6: ['input_0', None, [], [10, 11, 12]], 7: ['input_0', None, [], [10, 11, 12]], 8: ['input_0', None, [], [10, 11, 12]], 9: ['input_0', None, [], [10, 11, 12]], 10: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 11: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 12: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 13: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 14: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 15: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 16: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 17: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 18: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 19: ['output_4', 'identity', [], []], 20: ['output_4', 'identity', [], []], 21: ['output_4', 'identity', [], []]}","{'retraing_es_error': -1, 'exp_decay_rates_2': 0.999, 'max_epochs': 800, 'alpha_momentum': 0.5, 'lambda_tikhonov': 1e-05, 'adamax_learning_rate': 0.01875, 'nesterov': False, 'patience': 5, 'min_epochs': 100, 'adamax': True, 'lr_decay_tau': 0, 'exp_decay_rates_1': 0.99, 'learning_rate': 0.00625, 'eta_tau': 6.25e-05, 'error_increase_tolerance': 1e-05, 'training_set_len': 534, 'minibatch_size': 16, 'epochs': [800, 194, 800], 'mean_metrics': [1.6647288675816554, 2.981906251475054], 'variance_metrics': [0.0018228508364752309, 0.016645753569545067], 'mean_best_validation_training_error': 2.9741336102631877}",1.6647288675816554,2.981906251475054,0.0018228508364752,0.016645753569545,2.974133610263188
True,0.3,40,1e-05,0.9,0.999,0.0001,800,100,5,"{0: ['input_0', None, [], [10, 11, 12]], 1: ['input_0', None, [], [10, 11, 12]], 2: ['input_0', None, [], [10, 11, 12]], 3: ['input_0', None, [], [10, 11, 12]], 4: ['input_0', None, [], [10, 11, 12]], 5: ['input_0', None, [], [10, 11, 12]], 6: ['input_0', None, [], [10, 11, 12]], 7: ['input_0', None, [], [10, 11, 12]], 8: ['input_0', None, [], [10, 11, 12]], 9: ['input_0', None, [], [10, 11, 12]], 10: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 11: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 12: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 13: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 14: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 15: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 16: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 17: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 18: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 19: ['output_4', 'identity', [], []], 20: ['output_4', 'identity', [], []], 21: ['output_4', 'identity', [], []]}","{'retraing_es_error': -1, 'exp_decay_rates_2': 0.999, 'max_epochs': 800, 'alpha_momentum': 0.5, 'lambda_tikhonov': 0.0001, 'adamax_learning_rate': 0.0075, 'nesterov': False, 'patience': 5, 'min_epochs': 100, 'adamax': True, 'lr_decay_tau': 0, 'exp_decay_rates_1': 0.9, 'learning_rate': 0.0025, 'eta_tau': 2.5e-05, 'error_increase_tolerance': 1e-05, 'training_set_len': 534, 'minibatch_size': 40, 'epochs': [800, 800, 106], 'mean_metrics': [1.6708464518352582, 3.003144138259439], 'variance_metrics': [0.0001911153617222506, 0.0015334294647690004], 'mean_best_validation_training_error': 3.0045448685520264}",1.6708464518352582,3.003144138259439,0.0001911153617222,0.001533429464769,3.0045448685520264
True,0.5,40,1e-05,0.99,0.999,1e-05,800,100,5,"{0: ['input_0', None, [], [10, 11, 12]], 1: ['input_0', None, [], [10, 11, 12]], 2: ['input_0', None, [], [10, 11, 12]], 3: ['input_0', None, [], [10, 11, 12]], 4: ['input_0', None, [], [10, 11, 12]], 5: ['input_0', None, [], [10, 11, 12]], 6: ['input_0', None, [], [10, 11, 12]], 7: ['input_0', None, [], [10, 11, 12]], 8: ['input_0', None, [], [10, 11, 12]], 9: ['input_0', None, [], [10, 11, 12]], 10: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 11: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 12: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 13: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 14: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 15: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 16: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 17: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 18: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 19: ['output_4', 'identity', [], []], 20: ['output_4', 'identity', [], []], 21: ['output_4', 'identity', [], []]}","{'retraing_es_error': -1, 'exp_decay_rates_2': 0.999, 'max_epochs': 800, 'alpha_momentum': 0.5, 'lambda_tikhonov': 1e-05, 'adamax_learning_rate': 0.0125, 'nesterov': False, 'patience': 5, 'min_epochs': 100, 'adamax': True, 'lr_decay_tau': 0, 'exp_decay_rates_1': 0.99, 'learning_rate': 0.0025, 'eta_tau': 2.5e-05, 'error_increase_tolerance': 1e-05, 'training_set_len': 534, 'minibatch_size': 40, 'epochs': [800, 237, 800], 'mean_metrics': [1.6663615867017683, 2.991373767214791], 'variance_metrics': [0.001325272343225929, 0.014092266445482579], 'mean_best_validation_training_error': 2.976683297690671}",1.6663615867017685,2.991373767214791,0.0013252723432259,0.0140922664454825,2.976683297690671
True,0.3,16,1e-05,0.99,0.999,0.0001,800,100,5,"{0: ['input_0', None, [], [10, 11, 12]], 1: ['input_0', None, [], [10, 11, 12]], 2: ['input_0', None, [], [10, 11, 12]], 3: ['input_0', None, [], [10, 11, 12]], 4: ['input_0', None, [], [10, 11, 12]], 5: ['input_0', None, [], [10, 11, 12]], 6: ['input_0', None, [], [10, 11, 12]], 7: ['input_0', None, [], [10, 11, 12]], 8: ['input_0', None, [], [10, 11, 12]], 9: ['input_0', None, [], [10, 11, 12]], 10: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 11: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 12: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 13: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 14: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 15: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 16: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 17: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 18: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 19: ['output_4', 'identity', [], []], 20: ['output_4', 'identity', [], []], 21: ['output_4', 'identity', [], []]}","{'retraing_es_error': -1, 'exp_decay_rates_2': 0.999, 'max_epochs': 800, 'alpha_momentum': 0.5, 'lambda_tikhonov': 0.0001, 'adamax_learning_rate': 0.01875, 'nesterov': False, 'patience': 5, 'min_epochs': 100, 'adamax': True, 'lr_decay_tau': 0, 'exp_decay_rates_1': 0.99, 'learning_rate': 0.00625, 'eta_tau': 6.25e-05, 'error_increase_tolerance': 1e-05, 'training_set_len': 534, 'minibatch_size': 16, 'epochs': [106, 800, 800], 'mean_metrics': [1.6687106781233574, 2.9966686037015258], 'variance_metrics': [0.001113228789652113, 0.010480015323451433], 'mean_best_validation_training_error': 2.9950059028602816}",1.6687106781233574,2.9966686037015258,0.0011132287896521,0.0104800153234514,2.9950059028602816
True,0.5,40,1e-05,0.9,0.999,0.0001,800,100,5,"{0: ['input_0', None, [], [10, 11, 12]], 1: ['input_0', None, [], [10, 11, 12]], 2: ['input_0', None, [], [10, 11, 12]], 3: ['input_0', None, [], [10, 11, 12]], 4: ['input_0', None, [], [10, 11, 12]], 5: ['input_0', None, [], [10, 11, 12]], 6: ['input_0', None, [], [10, 11, 12]], 7: ['input_0', None, [], [10, 11, 12]], 8: ['input_0', None, [], [10, 11, 12]], 9: ['input_0', None, [], [10, 11, 12]], 10: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 11: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 12: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 13: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 14: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 15: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 16: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 17: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 18: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 19: ['output_4', 'identity', [], []], 20: ['output_4', 'identity', [], []], 21: ['output_4', 'identity', [], []]}","{'retraing_es_error': -1, 'exp_decay_rates_2': 0.999, 'max_epochs': 800, 'alpha_momentum': 0.5, 'lambda_tikhonov': 0.0001, 'adamax_learning_rate': 0.0125, 'nesterov': False, 'patience': 5, 'min_epochs': 100, 'adamax': True, 'lr_decay_tau': 0, 'exp_decay_rates_1': 0.9, 'learning_rate': 0.0025, 'eta_tau': 2.5e-05, 'error_increase_tolerance': 1e-05, 'training_set_len': 534, 'minibatch_size': 40, 'epochs': [800, 137, 800], 'mean_metrics': [1.5652986178841701, 2.717479801295951], 'variance_metrics': [0.03437768647045159, 0.26891730893037846], 'mean_best_validation_training_error': 2.689196693863049}",1.56529861788417,2.717479801295951,0.0343776864704515,0.2689173089303784,2.689196693863049
True,0.3,40,1e-05,0.99,0.999,0.0001,800,100,5,"{0: ['input_0', None, [], [10, 11, 12]], 1: ['input_0', None, [], [10, 11, 12]], 2: ['input_0', None, [], [10, 11, 12]], 3: ['input_0', None, [], [10, 11, 12]], 4: ['input_0', None, [], [10, 11, 12]], 5: ['input_0', None, [], [10, 11, 12]], 6: ['input_0', None, [], [10, 11, 12]], 7: ['input_0', None, [], [10, 11, 12]], 8: ['input_0', None, [], [10, 11, 12]], 9: ['input_0', None, [], [10, 11, 12]], 10: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 11: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 12: ['hidden_1', 'ReLU', [1], [13, 14, 15]], 13: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 14: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 15: ['hidden_2', 'ReLU', [1], [16, 17, 18]], 16: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 17: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 18: ['hidden_3', 'ReLU', [1], [19, 20, 21]], 19: ['output_4', 'identity', [], []], 20: ['output_4', 'identity', [], []], 21: ['output_4', 'identity', [], []]}","{'retraing_es_error': -1, 'exp_decay_rates_2': 0.999, 'max_epochs': 800, 'alpha_momentum': 0.5, 'lambda_tikhonov': 0.0001, 'adamax_learning_rate': 0.0075, 'nesterov': False, 'patience': 5, 'min_epochs': 100, 'adamax': True, 'lr_decay_tau': 0, 'exp_decay_rates_1': 0.99, 'learning_rate': 0.0025, 'eta_tau': 2.5e-05, 'error_increase_tolerance': 1e-05, 'training_set_len': 534, 'minibatch_size': 40, 'epochs': [800, 800, 800], 'mean_metrics': [1.6776267111728511, 3.0263568727328263], 'variance_metrics': [0.0013146189723615934, 0.014106437943572447], 'mean_best_validation_training_error': 2.997339113737352}",1.6776267111728511,3.0263568727328263,0.0013146189723615,0.0141064379435724,2.997339113737352
